description,spider,title,url
"Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,, ,Bases: ,, ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Create a new ""blended"" transform using , to transform
the ,-axis and , to transform the ,-axis.,Create a new composite transform that is the result of applying
transform a then transform b.,Check, inclusively, whether an interval includes a given value.,Check, excluding endpoints, whether an interval includes a given value.,Modify the endpoints of a range as needed to avoid singularities.,Return a new transform with an added offset.",,,https://matplotlib.org/stable/api/transformations.html
Get the formatter of the major ticker.,,matplotlib.axis.Axis.get_major_formatter,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_major_formatter.html
Get the locator of the major ticker.,,matplotlib.axis.Axis.get_major_locator,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_major_locator.html
Adjust the padding between and around subplots.,,matplotlib.pyplot.tight_layout,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.tight_layout.html
"Bases: ,Bases: ,Bases: ,Bases: ,Return a list of dictionaries of statistics used to draw a series of box
and whisker plots using ,.,Return a list of (ind0, ind1) such that , is
True and we cover all such regions.,Find all masked and/or non-finite points in a set of arguments,
and return the arguments with only the unmasked points remaining.,Return whether the given writable file-like object requires Unicode to be
written to it.,Return a generator of flattened nested containers.,Return a sample data file. , is a path relative to the
, directory. If , is ,
return a file object, otherwise just a file path.,A helper function to create reasonable x values for the given ,.,Return whether the string , contains math expressions.,Return whether the given object is a scalar or string like.,Return whether , looks like a file object with a , method.,Maps short codes for line style to their full name used by backends.,Maps full names for line styles used by backends to their short codes.,Bases: ,Helper function to normalize kwarg inputs.,Pass through file objects and context-manage path-likes.,Print loops of cyclic references in the given ,.,Convert continuous line to mid-steps.,Convert continuous line to post-steps.,Convert continuous line to pre-steps.,[,] Return the memory consumed by the process.,Return the first element in ,.,Convert dictview objects to list. Other inputs are returned unchanged.,Bases: ,Resample an array with , points between original point pairs.,Remove latex formatting from mathtext.,Convert a path to an open file handle or pass-through a file-like object.,Return a list of dictionaries of data which can be used to draw a series
of violin plots.",,,https://matplotlib.org/stable/api/cbook_api.html
"Return this Axis' major tick labels, as a list of ,.",,matplotlib.axis.Axis.get_majorticklabels,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_majorticklabels.html
Get the formatter of the minor ticker.,,matplotlib.axis.Axis.get_minor_formatter,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minor_formatter.html
"Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ",,,https://matplotlib.org/stable/api/ticker_api.html
Draw an unstructured triangular grid as lines and/or markers.,,matplotlib.pyplot.triplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.triplot.html
"Return the list of major ,s.",,matplotlib.axis.Axis.get_major_ticks,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_major_ticks.html
"An abstract base class to handle drawing/rendering operations.,The abstraction layer that separates the , from the backend
specific details like a user interface drawing area.,An abstract base class that provides color, line styles, etc.,The base class for all of the Matplotlib event handling. Derived classes
such as , and , store the meta data like keys and
buttons pressed, x and y locations in pixel and , coordinates.,The base class for the , class of each interactive backend; the
'show' callable is then set to ,.,The base class for the Toolbar class of each interactive backend.,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,Bases: ,The default Matplotlib button actions for extra mouse buttons.,Return the registered default canvas for given file format.
Handles deferred import of required backend.,Implement the default Matplotlib key bindings for the canvas and toolbar
described at ,.,Register a backend for saving to a given file format.",,,https://matplotlib.org/stable/api/backend_bases_api.html
Bases: ,,matplotlib.patches.FancyArrowPatch,https://matplotlib.org/stable/api/_as_gen/matplotlib.patches.FancyArrowPatch.html
Colormap and save an array as an image file.,,matplotlib.pyplot.imsave,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.imsave.html
"Return this Axis' minor tick lines as a list of ,s.",,matplotlib.axis.Axis.get_minorticklines,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minorticklines.html
Return this Axis' minor tick locations in data coordinates.,,matplotlib.axis.Axis.get_minorticklocs,https://matplotlib.org/stable/api/_as_gen/matplotlib.axis.Axis.get_minorticklocs.html
Add a colorbar to a plot.,,matplotlib.pyplot.colorbar,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.colorbar.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=axes.autolimit_mode
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=legend.fontsize
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=figure.subplot.hspace
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=figure.subplot.wspace
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=text.usetex
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=lines.color
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=lines.linewidth
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=mathtext.fontset
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=lines.antialiased
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=yaxis.labellocation
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=font.size
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=savefig.format
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=legend.borderpad
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=xaxis.labellocation
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=font.stretch
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=font.weight
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=font.variant
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=image.cmap
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=figure.constrained_layout.wspace
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=font.style
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=figure.constrained_layout.w_pad
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=figure.constrained_layout.hspace
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=font.family
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=text.color
,,,https://matplotlib.org/stable/api/pyplot_summary.html
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=scatter.marker
,,Customizing Matplotlib with style sheets and rcParams,https://matplotlib.org/stable/tutorials/introductory/customizing.html?highlight=figure.constrained_layout.h_pad
Bases: ,,matplotlib.quiver.Barbs,https://matplotlib.org/stable/api/_as_gen/matplotlib.quiver.Barbs.html
Create a new figure manager instance.,,matplotlib.pyplot.new_figure_manager,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.new_figure_manager.html
Bases: ,,matplotlib.quiver.QuiverKey,https://matplotlib.org/stable/api/_as_gen/matplotlib.quiver.QuiverKey.html
"Disconnect the callback with id ,.",,matplotlib.pyplot.disconnect,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.disconnect.html
Bases: ,,matplotlib.quiver.Quiver,https://matplotlib.org/stable/api/_as_gen/matplotlib.quiver.Quiver.html
Return the figure manager of the current figure.,,matplotlib.pyplot.get_current_fig_manager,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.get_current_fig_manager.html
"Bind function , to event ,.",,matplotlib.pyplot.connect,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.connect.html
Blocking call to interact with the figure.,,matplotlib.pyplot.waitforbuttonpress,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.waitforbuttonpress.html
Blocking call to interact with a figure.,,matplotlib.pyplot.ginput,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.ginput.html
Get or set the current tick locations and labels of the y-axis.,,matplotlib.pyplot.yticks,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.yticks.html
Set the yaxis' scale.,,matplotlib.pyplot.yscale,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.yscale.html
Set the label for the x-axis.,,matplotlib.pyplot.xlabel,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xlabel.html
Get or set the x limits of the current axes.,,matplotlib.pyplot.xlim,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xlim.html
Set the label for the y-axis.,,matplotlib.pyplot.ylabel,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.ylabel.html
Set the xaxis' scale.,,matplotlib.pyplot.xscale,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xscale.html
"Plot vertical lines at each , from , to ,.",,matplotlib.pyplot.vlines,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.vlines.html
"Turn on , sketch-style drawing mode. This will
only have effect on things drawn after this function is called.",,matplotlib.pyplot.xkcd,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xkcd.html
Get or set the y-limits of the current axes.,,matplotlib.pyplot.ylim,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.ylim.html
Get or set the current tick locations and labels of the x-axis.,,matplotlib.pyplot.xticks,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.xticks.html
Make a violin plot.,,matplotlib.pyplot.violinplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.violinplot.html
Disconnect from the display hook of the current shell.,,matplotlib.pyplot.uninstall_repl_displayhook,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.uninstall_repl_displayhook.html
"Make and return a second axes that shares the ,-axis. The new axes will
overlay , (or the current axes if , is ,), and its ticks will be
on the right.",,matplotlib.pyplot.twinx,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.twinx.html
"Make and return a second axes that shares the ,-axis. The new axes will
overlay , (or the current axes if , is ,), and its ticks will be
on the top.",,matplotlib.pyplot.twiny,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.twiny.html
Set a title for the Axes.,,matplotlib.pyplot.title,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.title.html
"Configure the , used by default for linear Axes.",,matplotlib.pyplot.ticklabel_format,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.ticklabel_format.html
Get or set the theta gridlines on the current polar plot.,,matplotlib.pyplot.thetagrids,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.thetagrids.html
Create a pseudocolor plot of an unstructured triangular grid.,,matplotlib.pyplot.tripcolor,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.tripcolor.html
Add text to the Axes.,,matplotlib.pyplot.text,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.text.html
Add a centered suptitle to the figure.,,matplotlib.pyplot.suptitle,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.suptitle.html
Close all open figures and set the Matplotlib backend.,,matplotlib.pyplot.switch_backend,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.switch_backend.html
"Add a table to an ,.",,matplotlib.pyplot.table,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.table.html
Launch a subplot tool window for a figure.,,matplotlib.pyplot.subplot_tool,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplot_tool.html
Create a subplot at a specific location inside a regular grid.,,matplotlib.pyplot.subplot2grid,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplot2grid.html
Create a stem plot.,,matplotlib.pyplot.stem,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.stem.html
Add an Axes to the current figure or retrieve an existing Axes.,,matplotlib.pyplot.subplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.subplot.html
Make a step plot.,,matplotlib.pyplot.step,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.step.html
Draw a stacked area plot.,,matplotlib.pyplot.stackplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.stackplot.html
Draw streamlines of a vector flow.,,matplotlib.pyplot.streamplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.streamplot.html
"A stepwise constant function as a line with bounding edges
or a filled plot.",,matplotlib.pyplot.stairs,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.stairs.html
Plot the sparsity pattern of a 2D array.,,matplotlib.pyplot.spy,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.spy.html
Plot a spectrogram.,,matplotlib.pyplot.specgram,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.specgram.html
"Set Matplotlib's root logger and root logger handler level, creating
the handler if it does not exist yet.",,matplotlib.pyplot.set_loglevel,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.set_loglevel.html
"Set the default colormap, and applies it to the current image if any.",,matplotlib.pyplot.set_cmap,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.set_cmap.html
Make a plot with log scaling on the x axis.,,matplotlib.pyplot.semilogx,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.semilogx.html
Make a plot with log scaling on the y axis.,,matplotlib.pyplot.semilogy,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.semilogy.html
Set the current image.,,matplotlib.pyplot.sci,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.sci.html
"Set one or more properties on an ,, or list allowed values.",,matplotlib.pyplot.setp,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.setp.html
"Set the current Axes to , and the current Figure to the parent of ,.",,matplotlib.pyplot.sca,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.sca.html
"A scatter plot of , vs. , with varying marker size and/or color.",,matplotlib.pyplot.scatter,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.scatter.html
Get or set the radial gridlines on the current polar plot.,,matplotlib.pyplot.rgrids,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.rgrids.html
Add a key to a quiver plot.,,matplotlib.pyplot.quiverkey,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.quiverkey.html
"Set the current ,. , is the grouping for the rc, e.g.,
for , the group is ,, for
,, the group is ,, and so on. Group may
also be a list or tuple of group names, e.g., (,, ,).
, is a dictionary attribute name/value pairs, e.g.,:",,matplotlib.pyplot.rc,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.rc.html
"Restore the , from Matplotlib's internal default style.",,matplotlib.pyplot.rcdefaults,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.rcdefaults.html
Make a polar plot.,,matplotlib.pyplot.polar,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.polar.html
Plot a 2D field of arrows.,,matplotlib.pyplot.quiver,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.quiver.html
Plot the power spectral density.,,matplotlib.pyplot.psd,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.psd.html
Plot a pie chart.,,matplotlib.pyplot.pie,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.pie.html
Plot y versus x as lines and/or markers.,,matplotlib.pyplot.plot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.plot.html
"[,] Plot coercing the axis to treat floats as dates.",,matplotlib.pyplot.plot_date,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.plot_date.html
Plot the phase spectrum.,,matplotlib.pyplot.phase_spectrum,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.phase_spectrum.html
Create a pseudocolor plot with a non-regular rectangular grid.,,matplotlib.pyplot.pcolormesh,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.pcolormesh.html
Create a pseudocolor plot with a non-regular rectangular grid.,,matplotlib.pyplot.pcolor,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.pcolor.html
Display minor ticks on the Axes.,,matplotlib.pyplot.minorticks_on,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.minorticks_on.html
Remove minor ticks from the Axes.,,matplotlib.pyplot.minorticks_off,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.minorticks_off.html
Display an array as a matrix in a new figure window.,,matplotlib.pyplot.matshow,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.matshow.html
Plot the magnitude spectrum.,,matplotlib.pyplot.magnitude_spectrum,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.magnitude_spectrum.html
Set or retrieve autoscaling margins.,,matplotlib.pyplot.margins,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.margins.html
Make a plot with log scaling on both the x and y axis.,,matplotlib.pyplot.loglog,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.loglog.html
Enable interactive mode.,,matplotlib.pyplot.ion,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.ion.html
Control behavior of major tick locators.,,matplotlib.pyplot.locator_params,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.locator_params.html
Return whether plots are updated after every plotting command.,,matplotlib.pyplot.isinteractive,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.isinteractive.html
Place a legend on the Axes.,,matplotlib.pyplot.legend,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.legend.html
Connect to the display hook of the current shell.,,matplotlib.pyplot.install_repl_displayhook,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.install_repl_displayhook.html
Disable interactive mode.,,matplotlib.pyplot.ioff,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.ioff.html
"Plot horizontal lines at each , from , to ,.",,matplotlib.pyplot.hlines,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.hlines.html
Configure the grid lines.,,matplotlib.pyplot.grid,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.grid.html
Make a 2D histogram plot.,,matplotlib.pyplot.hist2d,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.hist2d.html
Compute and plot a histogram.,,matplotlib.pyplot.hist,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.hist.html
"Make a 2D hexagonal binning plot of points ,, ,.",,matplotlib.pyplot.hexbin,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.hexbin.html
Return a list of existing figure labels.,,matplotlib.pyplot.get_figlabels,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.get_figlabels.html
"Return the value of an ,'s ,, or print all of them.",,matplotlib.pyplot.getp,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.getp.html
Return a list of existing figure numbers.,,matplotlib.pyplot.get_fignums,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.get_fignums.html
"Get a colormap instance, defaulting to rc values if , is None.",,matplotlib.pyplot.get_cmap,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.get_cmap.html
"Return the value of an ,'s ,, or print all of them.",,matplotlib.pyplot.get,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.get.html
Get the current colorable artist.,,matplotlib.pyplot.gci,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.gci.html
Get the current Axes.,,matplotlib.pyplot.gca,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.gca.html
Find artist objects.,,matplotlib.pyplot.findobj,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.findobj.html
Fill the area between two vertical curves.,,matplotlib.pyplot.fill_betweenx,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.fill_betweenx.html
Fill the area between two horizontal curves.,,matplotlib.pyplot.fill_between,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.fill_between.html
Get the current figure.,,matplotlib.pyplot.gcf,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.gcf.html
Plot filled polygons.,,matplotlib.pyplot.fill,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.fill.html
Add text to figure.,,matplotlib.pyplot.figtext,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.figtext.html
Place a legend on the figure.,,matplotlib.pyplot.figlegend,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.figlegend.html
Add a non-resampled image to the figure.,,matplotlib.pyplot.figimage,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.figimage.html
Return whether the figure with the given id exists.,,matplotlib.pyplot.fignum_exists,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.fignum_exists.html
Plot identical parallel lines at the given positions.,,matplotlib.pyplot.eventplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.eventplot.html
Redraw the current figure if in interactive mode.,,matplotlib.pyplot.draw_if_interactive,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.draw_if_interactive.html
Redraw the current figure.,,matplotlib.pyplot.draw,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.draw.html
Plot y versus x as lines and/or markers with attached errorbars.,,matplotlib.pyplot.errorbar,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.errorbar.html
"Remove an , (defaulting to the current axes) from its figure.",,matplotlib.pyplot.delaxes,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.delaxes.html
Plot the cross-spectral density.,,matplotlib.pyplot.csd,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.csd.html
Close a figure window.,,matplotlib.pyplot.close,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.close.html
Set the color limits of the current image.,,matplotlib.pyplot.clim,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.clim.html
Clear the current figure.,,matplotlib.pyplot.clf,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.clf.html
"Plot the coherence between , and ,.",,matplotlib.pyplot.cohere,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.cohere.html
Clear the current axes.,,matplotlib.pyplot.cla,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.cla.html
Label a contour plot.,,matplotlib.pyplot.clabel,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.clabel.html
Plot a horizontal sequence of rectangles.,,matplotlib.pyplot.broken_barh,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.broken_barh.html
Draw a box and whisker plot.,,matplotlib.pyplot.boxplot,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.boxplot.html
Turn the axes box on or off on the current axes.,,matplotlib.pyplot.box,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.box.html
Plot a 2D field of barbs.,,matplotlib.pyplot.barbs,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.barbs.html
Make a horizontal bar plot.,,matplotlib.pyplot.barh,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.barh.html
Label a bar plot.,,matplotlib.pyplot.bar_label,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.bar_label.html
Make a bar plot.,,matplotlib.pyplot.bar,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.bar.html
Add a vertical line across the Axes.,,matplotlib.pyplot.axvline,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axvline.html
Add a vertical span (rectangle) across the Axes.,,matplotlib.pyplot.axvspan,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axvspan.html
Add a horizontal span (rectangle) across the Axes.,,matplotlib.pyplot.axhspan,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axhspan.html
Convenience method to get or set some axis properties.,,matplotlib.pyplot.axis,https://matplotlib.org/stable/api/_as_gen/matplotlib.pyplot.axis.html
