description,title
Stack arrays in sequence vertically (row wise).,numpy.row_stack
"Return the base 10 logarithm of the input array, element-wise.",numpy.log10
Split an array into multiple sub-arrays.,numpy.array_split
"Return the natural logarithm of one plus the input array, element-wise.",numpy.log1p
Translates slice objects to concatenation along the first axis.,numpy.r_
"Return the non-negative square-root of an array, element-wise.",numpy.sqrt
Return a 2-D array with ones on the diagonal and zeros elsewhere.,numpy.eye
Return the identity array.,numpy.identity
Cosine element-wise.,numpy.cos
"Trigonometric sine, element-wise.",numpy.sin
Context manager for floating-point error handling.,numpy.errstate
Compute tangent element-wise.,numpy.tan
"Inverse sine, element-wise.",numpy.arcsin
"Returns the lowest common multiple of , and ",numpy.lcm
Convert inputs to arrays with at least one dimension.,numpy.atleast_1d
Broadcast any number of arrays against each other.,numpy.broadcast_arrays
Return an array copy of the given object.,numpy.copy
Interpret a buffer as a 1-dimensional array.,numpy.frombuffer
View inputs as arrays with at least three dimensions.,numpy.atleast_3d
Construct an array from an index array and a list of arrays to choose from.,numpy.choose
Return specified diagonals.,numpy.diagonal
"Copy of the array, cast to a specified type.",numpy.ndarray.astype
Compute hyperbolic tangent element-wise.,numpy.tanh
View inputs as arrays with at least two dimensions.,numpy.atleast_2d
"Given the “legs” of a right triangle, return its hypotenuse.",numpy.hypot
"Element-wise arc tangent of , choosing the quadrant correctly.",numpy.arctan2
"Hyperbolic cosine, element-wise.",numpy.cosh
Take elements from an array along an axis.,numpy.take
Number of elements in the array.,numpy.ma.MaskedArray.size
Context manager for setting print options.,numpy.printoptions
Tuple of bytes to step in each dimension when traversing an array.,numpy.ma.MaskedArray.strides
"An object to simplify the interaction of the array with the ctypes
module.",numpy.ma.MaskedArray.ctypes
"Hyperbolic sine, element-wise.",numpy.sinh
Interchange two axes of an array.,numpy.swapaxes
Convert angles from degrees to radians.,numpy.deg2rad
Total bytes consumed by the elements of the array.,numpy.ma.MaskedArray.nbytes
Compute the bit-wise XOR of two arrays element-wise.,numpy.bitwise_xor
Compute the bit-wise OR of two arrays element-wise.,numpy.bitwise_or
Packs the elements of a binary-valued array into bits in a uint8 array.,numpy.packbits
"Return the sum of array elements over a given axis treating Not a
Numbers (NaNs) as zero.",numpy.nansum
"Convert the input to a masked array, conserving subclasses.",numpy.ma.asanyarray
Convert to float.,numpy.ma.MaskedArray.__float__
An array class with possibly masked values.,numpy.ma.array
Join a sequence of arrays along a new axis.,numpy.stack
Changes elements of an array based on conditional and input values.,numpy.putmask
Return the truth value of (x1 >= x2) element-wise.,numpy.greater_equal
Return matrix rank of array using SVD method,numpy.linalg.matrix_rank
Return input with invalid data masked and replaced by a fill value.,numpy.ma.fix_invalid
Compute the q-th quantile of the data along the specified axis.,numpy.quantile
Convert to int.,numpy.ma.MaskedArray.__int__
Mask an array where greater than a given value.,numpy.ma.masked_greater
Return a full array with the same shape and type as a given array.,numpy.full_like
"Function to calculate only the edges of the bins used by the ,
function.",numpy.histogram_bin_edges
Mask an array inside a given interval.,numpy.ma.masked_inside
Mask an array where invalid values occur (NaNs or infs).,numpy.ma.masked_invalid
Mask an array where less than a given value.,numpy.ma.masked_less
Compute the truth value of x1 OR x2 element-wise.,numpy.logical_or
"Mask an array where , equal to a given value.",numpy.ma.masked_not_equal
"Mask the array , where the data are exactly equal to value.",numpy.ma.masked_object
"Return a copy of self, with masked values filled with a given value.
,, if there are no masked values to fill, self will be
returned instead as an ndarray.",numpy.ma.MaskedArray.filled
Mask using floating point equality.,numpy.ma.masked_values
Compute the multidimensional histogram of some data.,numpy.histogramdd
Save a masked array to a file in binary format.,numpy.ma.MaskedArray.tofile
"Compute the truth value of x1 XOR x2, element-wise.",numpy.logical_xor
Return the array data as a string containing the raw bytes in the array.,numpy.ma.MaskedArray.tobytes
Transforms a masked array into a flexible-type array.,numpy.ma.MaskedArray.torecords
Element-wise minimum of array elements.,numpy.fmin
"Dump a pickle of the array to the specified file.
The array can be read back with pickle.load or numpy.load.",numpy.ndarray.dump
Test element-wise for positive or negative infinity.,numpy.isinf
Return a copy of the array collapsed into one dimension.,numpy.ma.MaskedArray.flatten
Return input as an array with masked data replaced by a fill value.,numpy.ma.filled
"Replace NaN with zero and infinity with large finite numbers (default
behaviour) or with the numbers defined by the user using the ,,
, and/or , keywords.",numpy.nan_to_num
Mask an array outside a given interval.,numpy.ma.masked_outside
Mask an array where a condition is met.,numpy.ma.masked_where
"Returns either a new reference to self if dtype is not given or a new array
of provided data type if dtype is different from the current dtype of the
array.",numpy.ma.MaskedArray.__array__
"This method is difficult to implement safely and may be deprecated in
future releases of NumPy.",numpy.ma.MaskedArray.resize
Test element-wise for NaT (not a time) and return result as a boolean array.,numpy.isnat
Return the data of a masked array as an ndarray.,numpy.ma.getdata
"Return the mask of a masked array, or nomask.",numpy.ma.getmask
Returns a view of the array with axes transposed.,numpy.ma.MaskedArray.transpose
Return all the non-masked data as a 1-D array.,numpy.ma.compressed
"Remove axes of length one from ,.",numpy.ma.MaskedArray.squeeze
Returns element-wise True where signbit is set (less than zero).,numpy.signbit
"Return the next floating-point value after x1 towards x2, element-wise.",numpy.nextafter
"Return the truncated value of the input, element-wise.",numpy.trunc
Give a new shape to the array without changing its data.,numpy.ma.MaskedArray.reshape
"Force the mask to soft (default), allowing unmasking by assignment.",numpy.ma.soften_mask
Return array of indices to the minimum values along the given axis.,numpy.ma.MaskedArray.argmin
"Save several arrays into a single file in uncompressed , format.",numpy.savez
"Sort the array, in-place",numpy.ma.MaskedArray.sort
Compute the q-th percentile of the data along the specified axis.,numpy.percentile
"Return , where condition is ,.",numpy.ma.MaskedArray.compress
"Return an ndarray of indices that sort the array along the
specified axis.  Masked values are filled beforehand to
,.",numpy.ma.MaskedArray.argsort
"Force the mask to hard, preventing unmasking by assignment.",numpy.ma.harden_mask
Use an index array to construct a new array from a set of choices.,numpy.ma.MaskedArray.choose
,numpy.ma.MaskedArray.take
Decompose the elements of x into mantissa and twos exponent.,numpy.frexp
Find indices where elements of v should be inserted in a to maintain order.,numpy.ma.MaskedArray.searchsorted
Return the indices of unmasked elements that are not zero.,numpy.ma.MaskedArray.nonzero
Repeat elements of an array.,numpy.ma.MaskedArray.repeat
Set storage-indexed locations to corresponding values.,numpy.ma.MaskedArray.put
Return a copy of the array.,numpy.ma.MaskedArray.copy
Returns True if all elements evaluate to True.,numpy.ma.MaskedArray.all
Copy an element of an array to a standard Python scalar and return it.,numpy.ma.MaskedArray.item
"Compute the anomalies (deviations from the arithmetic mean)
along the given axis.",numpy.ma.MaskedArray.anom
"Return the complex conjugate, element-wise.",numpy.ma.MaskedArray.conjugate
Complex-conjugate all elements.,numpy.ma.MaskedArray.conj
Return the cumulative product of the array elements over the given axis.,numpy.ma.MaskedArray.cumprod
"Returns True if any of the elements of , evaluate to True.",numpy.ma.MaskedArray.any
"Return an array whose values are limited to ,.
One of max or min must be given.",numpy.ma.MaskedArray.clip
Return the cumulative sum of the array elements over the given axis.,numpy.ma.MaskedArray.cumsum
"Return (maximum - minimum) along the given dimension
(i.e. peak-to-peak value).",numpy.ma.MaskedArray.ptp
Returns the average of the array elements along given axis.,numpy.ma.MaskedArray.mean
Return the product of the array elements over the given axis.,numpy.ma.MaskedArray.product
Return the product of the array elements over the given axis.,numpy.ma.MaskedArray.prod
Return the maximum along a given axis.,numpy.ma.MaskedArray.max
Returns the standard deviation of the array elements along given axis.,numpy.ma.MaskedArray.std
Return each element rounded to the given number of decimals.,numpy.ma.MaskedArray.round
"Returns the pickle of the array as a string.
pickle.loads will convert the string back to an array.",numpy.ma.MaskedArray.dumps
Return self<=value.,numpy.ma.MaskedArray.__le__
Check whether other equals self elementwise.,numpy.ma.MaskedArray.__eq__
Check whether other does not equal self elementwise.,numpy.ma.MaskedArray.__ne__
Return self>=value.,numpy.ma.MaskedArray.__ge__
Return self>value.,numpy.ma.MaskedArray.__gt__
Compute the variance along the specified axis.,numpy.ma.MaskedArray.var
Return the minimum along a given axis.,numpy.ma.MaskedArray.min
Return self<value.,numpy.ma.MaskedArray.__lt__
True if self else False,numpy.ma.MaskedArray.__bool__
Return the sum along diagonals of the array.,numpy.ma.MaskedArray.trace
"Subtract other from self, and return a new masked array.",numpy.ma.MaskedArray.__sub__
"Divide other into self, and return a new masked array.",numpy.ma.MaskedArray.__div__
"Multiply self by other, and return a new masked array.",numpy.ma.MaskedArray.__mul__
"Multiply other by self, and return a new masked array.",numpy.ma.MaskedArray.__rmul__
"Raise self to the power other, masking the potential NaNs/Infs",numpy.ma.MaskedArray.__pow__
"Divide self into other, and return a new masked array.",numpy.ma.MaskedArray.__rtruediv__
"Divide other into self, and return a new masked array.",numpy.ma.MaskedArray.__truediv__
"Divide other into self, and return a new masked array.",numpy.ma.MaskedArray.__floordiv__
Return self<<value.,numpy.ma.MaskedArray.__lshift__
Return value<<self.,numpy.ma.MaskedArray.__rlshift__
"Raise other to the power self, masking the potential NaNs/Infs",numpy.ma.MaskedArray.__rpow__
Return self>>value.,numpy.ma.MaskedArray.__rshift__
Return value|self.,numpy.ma.MaskedArray.__ror__
Divide self by other in-place.,numpy.ma.MaskedArray.__idiv__
True divide self by other in-place.,numpy.ma.MaskedArray.__itruediv__
Subtract other from self in-place.,numpy.ma.MaskedArray.__isub__
Multiply self by other in-place.,numpy.ma.MaskedArray.__imul__
Add other to self in-place.,numpy.ma.MaskedArray.__iadd__
Return value^self.,numpy.ma.MaskedArray.__rxor__
Return self>>=value.,numpy.ma.MaskedArray.__irshift__
Return self<<=value.,numpy.ma.MaskedArray.__ilshift__
Floor divide self by other in-place.,numpy.ma.MaskedArray.__ifloordiv__
Return the addresses of the data and mask areas.,numpy.ma.MaskedArray.ids
Delete self[key].,numpy.ma.MaskedArray.__delitem__
Return a 3-tuple for pickling a MaskedArray.,numpy.ma.MaskedArray.__reduce__
"Used if , is called on an array.",numpy.ma.MaskedArray.__deepcopy__
"Return the internal state of the masked array, for pickling
purposes.",numpy.ma.MaskedArray.__getstate__
Return len(self).,numpy.ma.MaskedArray.__len__
Set the mask.,numpy.ma.MaskedArray.__setmask__
"Force the mask to hard, preventing unmasking by assignment.",numpy.ma.MaskedArray.harden_mask
Return key in self.,numpy.ma.MaskedArray.__contains__
"x.__setitem__(i, y) <==> x[i]=y",numpy.ma.MaskedArray.__setitem__
Count the non-masked elements of the array along the given axis.,numpy.ma.MaskedArray.count
,numpy.ma.MaskedArray.set_fill_value
"The filling value of the masked array is a scalar. When setting, None
will set to a default based on the data type.",numpy.ma.MaskedArray.get_fill_value
Reduce a mask to nomask when possible.,numpy.ma.MaskedArray.shrink_mask
"Copy the mask and set the , flag to ,.",numpy.ma.MaskedArray.unshare_mask
Special hook for ufuncs.,numpy.ma.MaskedArray.__array_wrap__
Create a new masked array from scratch.,numpy.ma.MaskedArray.__new__
"Force the mask to soft (default), allowing unmasking by assignment.",numpy.ma.MaskedArray.soften_mask
x.__getitem__(y) <==> x[y],numpy.ma.MaskedArray.__getitem__
Set the default format for the string representation of polynomials.,numpy.polynomial.set_default_printstyle
Least squares fit of Chebyshev series to data.,numpy.polynomial.chebyshev.chebfit
A Laguerre series class.,numpy.polynomial.laguerre.Laguerre
Least squares fit to data.,numpy.polynomial.chebyshev.Chebyshev.fit
A Legendre series class.,numpy.polynomial.legendre.Legendre
A Chebyshev series class.,numpy.polynomial.chebyshev.Chebyshev
An Hermite series class.,numpy.polynomial.hermite.Hermite
An HermiteE series class.,numpy.polynomial.hermite_e.HermiteE
Return the shape of an array.,numpy.shape
Return an array (ndim >= 1) laid out in Fortran order in memory.,numpy.asfortranarray
Return the directory that contains the NumPy *.h header files.,numpy.get_include
A power series class.,numpy.polynomial.polynomial.Polynomial
"Restore the internal state of the masked array, for
pickling purposes.  , is typically the output of the
, output, and is a 5-tuple:",numpy.ma.MaskedArray.__setstate__
Return a boolean indicating whether the data is contiguous.,numpy.ma.MaskedArray.iscontiguous
Return str(self).,numpy.ma.MaskedArray.__str__
Return self&=value.,numpy.ma.MaskedArray.__iand__
"Raise self to the power other, in place.",numpy.ma.MaskedArray.__ipow__
Return self^=value.,numpy.ma.MaskedArray.__ixor__
Literal string representation.,numpy.ma.MaskedArray.__repr__
Return self|=value.,numpy.ma.MaskedArray.__ior__
"Used if , is called on an array. Returns a copy of the array.",numpy.ma.MaskedArray.__copy__
Return self%=value.,numpy.ma.MaskedArray.__imod__
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.polynomial.polyone
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.polynomial.polyx
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.chebyshev.chebone
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.chebyshev.chebx
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.polynomial.polyzero
Raise a polynomial to a power.,numpy.polynomial.polynomial.polypow
Evaluate a polynomial at points x.,numpy.polynomial.polynomial.polyval
"Evaluate a 2-D polynomial at points (x, y).",numpy.polynomial.polynomial.polyval2d
"Evaluate a 3-D polynomial at points (x, y, z).",numpy.polynomial.polynomial.polyval3d
"Evaluate a 2-D Chebyshev series at points (x, y).",numpy.polynomial.chebyshev.chebval2d
"Evaluate a 3-D Chebyshev series at points (x, y, z).",numpy.polynomial.chebyshev.chebval3d
Evaluate a 2-D polynomial on the Cartesian product of x and y.,numpy.polynomial.polynomial.polygrid2d
Evaluate a 2-D Chebyshev series on the Cartesian product of x and y.,numpy.polynomial.chebyshev.chebgrid2d
Raise a Chebyshev series to a power.,numpy.polynomial.chebyshev.chebpow
Evaluate a Chebyshev series at points x.,numpy.polynomial.chebyshev.chebval
Divide one polynomial by another.,numpy.polynomial.polynomial.polydiv
Divide one Chebyshev series by another.,numpy.polynomial.chebyshev.chebdiv
Pseudo-Vandermonde matrix of given degree.,numpy.polynomial.chebyshev.chebvander
"Evaluate a 3-D polynomial on the Cartesian product of x, y and z.",numpy.polynomial.polynomial.polygrid3d
Evaluate a polynomial specified by its roots at points x.,numpy.polynomial.polynomial.polyvalfromroots
"Evaluate a 3-D Chebyshev series on the Cartesian product of x, y, and z.",numpy.polynomial.chebyshev.chebgrid3d
Return the companion matrix of c.,numpy.polynomial.polynomial.polycompanion
Compute the roots of a polynomial.,numpy.polynomial.polynomial.polyroots
Compute the roots of a Chebyshev series.,numpy.polynomial.chebyshev.chebroots
Generate a monic polynomial with given roots.,numpy.polynomial.polynomial.polyfromroots
The weight function of the Chebyshev polynomials.,numpy.polynomial.chebyshev.chebweight
Least-squares fit of a polynomial to data.,numpy.polynomial.polynomial.polyfit
Returns an array representing a linear polynomial.,numpy.polynomial.polynomial.polyline
Chebyshev points of the first kind.,numpy.polynomial.chebyshev.chebpts1
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.polynomial.polytrim
Chebyshev series whose graph is a straight line.,numpy.polynomial.chebyshev.chebline
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.chebyshev.chebtrim
Interpolate a function at the Chebyshev points of the first kind.,numpy.polynomial.chebyshev.chebinterpolate
Convert a Chebyshev series to a polynomial.,numpy.polynomial.chebyshev.cheb2poly
Chebyshev points of the second kind.,numpy.polynomial.chebyshev.chebpts2
Convert a polynomial to a Chebyshev series.,numpy.polynomial.chebyshev.poly2cheb
Return the scaled companion matrix of c.,numpy.polynomial.chebyshev.chebcompanion
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite.hermone
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite.hermx
Evaluate a polynomial at specific values.,numpy.polyval
Gauss-Chebyshev quadrature.,numpy.polynomial.chebyshev.chebgauss
Return argument as a list of 1-d arrays.,numpy.polynomial.polyutils.as_series
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.polynomial.polyvander3d
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite.hermzero
A one-dimensional polynomial class.,numpy.poly1d
Multiply a Hermite series by x.,numpy.polynomial.hermite.hermmulx
Evaluate an Hermite series at points x.,numpy.polynomial.hermite.hermval
Find the coefficients of a polynomial with the given sequence of roots.,numpy.poly
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.legendre.legdomain
Issued by chebfit when the design matrix is rank deficient.,numpy.polynomial.polyutils.RankWarning
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.legendre.legzero
Subtract one Hermite series from another.,numpy.polynomial.hermite.hermsub
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.legendre.legone
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.legendre.legx
Least squares polynomial fit.,numpy.polyfit
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.laguerre.lagdomain
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.laguerre.lagzero
"Evaluate a 2-D Hermite series at points (x, y).",numpy.polynomial.hermite.hermval2d
Return the derivative of the specified order of a polynomial.,numpy.polyder
Apply linear map to input points.,numpy.polynomial.polyutils.mapdomain
Raise a Hermite series to a power.,numpy.polynomial.hermite.hermpow
Return a domain suitable for given abscissae.,numpy.polynomial.polyutils.getdomain
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite_e.hermezero
Evaluate a 2-D Hermite series on the Cartesian product of x and y.,numpy.polynomial.hermite.hermgrid2d
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.hermite_e.hermeone
Subtract one Legendre series from another.,numpy.polynomial.legendre.legsub
Find the sum of two polynomials.,numpy.polyadd
"An array object represents a multidimensional, homogeneous array
of fixed-size items.  An associated data-type object describes the
format of each element in the array (its byte-order, how many bytes it
occupies in memory, whether it is an integer, a floating point number,
or something else, etc.)",numpy.polynomial.laguerre.lagone
"Evaluate a 3-D Hermite series on the Cartesian product of x, y, and z.",numpy.polynomial.hermite.hermgrid3d
Raise a Legendre series to a power.,numpy.polynomial.legendre.legpow
"Issued by , when the Vandermonde matrix is rank deficient.",numpy.RankWarning
Add one Laguerre series to another.,numpy.polynomial.laguerre.lagadd
Multiply a Laguerre series by x.,numpy.polynomial.laguerre.lagmulx
Add one Hermite series to another.,numpy.polynomial.hermite_e.hermeadd
Divide one Legendre series by another.,numpy.polynomial.legendre.legdiv
Evaluate a Legendre series at points x.,numpy.polynomial.legendre.legval
Integrate a Hermite series.,numpy.polynomial.hermite.hermint
Raise a Laguerre series to a power.,numpy.polynomial.laguerre.lagpow
Return the scaled companion matrix of c.,numpy.polynomial.hermite.hermcompanion
"Evaluate a 3-D Laguerre series at points (x, y, z).",numpy.polynomial.laguerre.lagval3d
"Evaluate a 2-D HermiteE series at points (x, y).",numpy.polynomial.hermite_e.hermeval2d
"Evaluate a 3-D Hermite_e series at points (x, y, z).",numpy.polynomial.hermite_e.hermeval3d
"Evaluate a 2-D Laguerre series at points (x, y).",numpy.polynomial.laguerre.lagval2d
Integrate a Legendre series.,numpy.polynomial.legendre.legint
Pseudo-Vandermonde matrix of given degree.,numpy.polynomial.laguerre.lagvander
Compute the roots of a HermiteE series.,numpy.polynomial.hermite_e.hermeroots
Convert a polynomial to a Laguerre series.,numpy.polynomial.laguerre.poly2lag
Convert a polynomial to a Hermite series.,numpy.polynomial.hermite_e.poly2herme
Return the scaled companion matrix of c.,numpy.polynomial.legendre.legcompanion
Pseudo-Vandermonde matrix of given degree.,numpy.polynomial.hermite_e.hermevander
Weight function of the Legendre polynomials.,numpy.polynomial.legendre.legweight
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.laguerre.lagtrim
Gauss-Legendre quadrature.,numpy.polynomial.legendre.leggauss
Compute the roots of a Laguerre series.,numpy.polynomial.laguerre.lagroots
Convert a Laguerre series to a polynomial.,numpy.polynomial.laguerre.lag2poly
Laguerre series whose graph is a straight line.,numpy.polynomial.laguerre.lagline
Hermite series whose graph is a straight line.,numpy.polynomial.hermite_e.hermeline
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.hermite_e.hermetrim
Convert a Hermite series to a polynomial.,numpy.polynomial.hermite_e.herme2poly
Least squares fit of Laguerre series to data.,numpy.polynomial.laguerre.lagfit
Least squares fit of Hermite series to data.,numpy.polynomial.hermite_e.hermefit
Return the scaled companion matrix of c.,numpy.polynomial.hermite_e.hermecompanion
Return the companion matrix of c.,numpy.polynomial.laguerre.lagcompanion
Legendre series whose graph is a straight line.,numpy.polynomial.legendre.legline
Weight function of the Hermite_e polynomials.,numpy.polynomial.hermite_e.hermeweight
Convert a Legendre series to a polynomial.,numpy.polynomial.legendre.leg2poly
Weight function of the Laguerre polynomials.,numpy.polynomial.laguerre.lagweight
Gauss-Laguerre quadrature.,numpy.polynomial.laguerre.laggauss
Gauss-HermiteE quadrature.,numpy.polynomial.hermite_e.hermegauss
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.laguerre.lagvander3d
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.laguerre.lagvander2d
Remove “small” “trailing” coefficients from a polynomial.,numpy.polynomial.legendre.legtrim
Least squares fit of Legendre series to data.,numpy.polynomial.legendre.legfit
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.hermite_e.hermevander3d
Generate a Laguerre series with given roots.,numpy.polynomial.laguerre.lagfromroots
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.hermite_e.hermevander2d
Generate a HermiteE series with given roots.,numpy.polynomial.hermite_e.hermefromroots
Convert a polynomial to a Hermite series.,numpy.polynomial.hermite.poly2herm
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.legendre.legvander2d
Differentiate a Laguerre series.,numpy.polynomial.laguerre.lagder
Integrate a Laguerre series.,numpy.polynomial.laguerre.lagint
Pseudo-Vandermonde matrix of given degrees.,numpy.polynomial.legendre.legvander3d
Convert a Hermite series to a polynomial.,numpy.polynomial.hermite.herm2poly
Pseudo-Vandermonde matrix of given degree.,numpy.polynomial.legendre.legvander
Integrate a Hermite_e series.,numpy.polynomial.hermite_e.hermeint
